case_id,system_type,mode,question,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness,answer_similarity,ragas_score,ragas_missing_metrics
VZ-QA-001,naive,naive,What is Ishak Bey Mosque in the Vezilka corpus?,0.7142857142857143,0.6234076592440551,0.8666666666377778,1.0,0.8064050310870265,0.7256144678121736,0.7893965898444577,
VZ-QA-001,graph,mix,What is Ishak Bey Mosque in the Vezilka corpus?,0.5,0.5689267186319251,0.99999999995,1.0,0.353039948363723,0.745503226616139,0.6945783155936311,
VZ-QA-001,mixed,hybrid,What is Ishak Bey Mosque in the Vezilka corpus?,0.42857142857142855,0.603398301362528,0.8666666666377778,1.0,0.2813434871954175,0.7503773820470778,0.6550595443023716,
VZ-QA-002,naive,naive,What is Šarena Mosque in the Vezilka corpus?,0.8571428571428571,0.6477182044774517,0.99999999995,1.0,0.3575346501881747,0.7634719340860321,0.7709779409740859,
VZ-QA-002,graph,mix,What is Šarena Mosque in the Vezilka corpus?,0.9444444444444444,0.6294602779035426,0.9166666666361111,1.0,0.27220473271951984,0.735877754407491,0.749775646018518,
VZ-QA-002,mixed,hybrid,What is Šarena Mosque in the Vezilka corpus?,1.0,0.634534273846563,0.9166666666361111,1.0,0.27112789380675056,0.731579624502424,0.7589847431319748,
VZ-QA-003,naive,naive,What is Ljubiša Georgievski in the Vezilka corpus?,1.0,0.6541617903466577,0.9999999999,1.0,0.9284045662249931,0.7136182648999725,0.8826974368952705,
VZ-QA-003,graph,mix,What is Ljubiša Georgievski in the Vezilka corpus?,1.0,0.6696646321299968,0.9166666666361111,1.0,0.3534395486666814,0.7077932478111753,0.7745940158739941,
VZ-QA-003,mixed,hybrid,What is Ljubiša Georgievski in the Vezilka corpus?,0.5454545454545454,0.6592455926634935,0.9999999999,1.0,0.5087207474341947,0.7492337994834584,0.7437757808226153,
VZ-QA-004,naive,naive,What is Jasin Ferati in the Vezilka corpus?,0.631578947368421,0.540274573359847,0.99999999995,1.0,0.6753084427666127,0.701233771066451,0.7580659557518886,
VZ-QA-004,graph,mix,What is Jasin Ferati in the Vezilka corpus?,0.8,0.5968603841108725,0.99999999995,1.0,0.23342123964664094,0.7118394747421994,0.7236868497416188,
VZ-QA-004,mixed,hybrid,What is Jasin Ferati in the Vezilka corpus?,1.0,0.6010913744744151,0.9999999999,1.0,0.2725919176346179,0.7569819365003088,0.7717775380848902,
VZ-QA-005,naive,naive,What is Puleksenija Jovanoska in the Vezilka corpus?,1.0,0.5517687110897882,0.8333333332916666,1.0,0.3428380655968724,0.7713061807486303,0.7498743817878263,
VZ-QA-005,graph,mix,What is Puleksenija Jovanoska in the Vezilka corpus?,0.6666666666666666,0.502183725234926,0.8333333332916666,1.0,0.7919189870418949,0.7676759481675792,0.7602964434004557,
VZ-QA-005,mixed,hybrid,What is Puleksenija Jovanoska in the Vezilka corpus?,0.8,0.5388292046703849,0.8333333332916666,1.0,0.31912023917189203,0.7764724132014049,0.7112925317225581,
VZ-QA-006,naive,naive,What is Žarko Bašeski in the Vezilka corpus?,1.0,0.675046979565221,0.9166666666361111,1.0,0.29181246734145144,0.7381432337881874,0.7702782245551618,
VZ-QA-006,graph,mix,What is Žarko Bašeski in the Vezilka corpus?,1.0,0.674355382008209,0.9166666666361111,1.0,0.2665494294047436,0.7662126992567693,0.7706306962176388,
VZ-QA-006,mixed,hybrid,What is Žarko Bašeski in the Vezilka corpus?,1.0,0.0,0.99999999995,1.0,0.3538344567536326,0.7486912702699862,0.6837542878289365,
VZ-QA-007,naive,naive,What is Cinematheque of Macedonia in the Vezilka corpus?,0.75,0.7892356528868382,0.9999999999666667,1.0,0.5093306096889834,0.8373750029027491,0.8143235442408728,
VZ-QA-007,graph,mix,What is Cinematheque of Macedonia in the Vezilka corpus?,0.34285714285714286,0.7579506293018333,0.999999999975,1.0,0.249833713385181,0.8279229689500135,0.6964274090781951,
VZ-QA-007,mixed,hybrid,What is Cinematheque of Macedonia in the Vezilka corpus?,0.7142857142857143,0.7569632211951,0.8041666666465626,1.0,0.273551300421472,0.8214779289586153,0.7284074719179108,
VZ-QA-008,naive,naive,What is Stiv Naumov Memorial House in the Vezilka corpus?,1.0,0.8348482768507953,0.8874999999778125,1.0,0.3172074734833084,0.8072682501672622,0.8078040000798632,
